,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
212,FSLR.OQ,2021-09-30T00:00:00Z,-0.240359495764741,10149240568.92,95.46
213,FSLR.OQ,2021-10-29T00:00:00Z,25.2776031851849,12715610053.0,119.59
214,FSLR.OQ,2021-11-30T00:00:00Z,-13.3706831679575,11015446120.0,103.6
215,FSLR.OQ,2021-12-31T00:00:00Z,-15.86872586733,9267435172.0,87.16
216,FSLR.OQ,2022-01-31T00:00:00Z,-10.0734281770781,8333886745.99999,78.38
217,FSLR.OQ,2022-02-28T00:00:00Z,2.54698992231905,8005869091.56,75.29
218,FSLR.OQ,2022-03-31T00:00:00Z,11.2232700251577,8925285542.0,83.74
219,FSLR.OQ,2022-04-29T00:00:00Z,-10.8738101048816,7783843395.7,73.03
220,FSLR.OQ,2022-05-31T00:00:00Z,-3.31370669607107,7525909655.9,70.61
221,FSLR.OQ,2022-06-30T00:00:00Z,-5.38814053736085,7262266593.15,68.13
222,FSLR.OQ,2022-07-29T00:00:00Z,45.5599588995662,10570982812.71,99.17
223,FSLR.OQ,2022-08-31T00:00:00Z,28.6175254626794,13596136510.65,127.55
224,FSLR.OQ,2022-09-30T00:00:00Z,8.14324258198638,14100764112.51,132.27
225,FSLR.OQ,2022-10-31T00:00:00Z,10.055190143342,15518578647.6999,145.57
226,FSLR.OQ,2022-11-30T00:00:00Z,30.0444712464713,18392665893.3,172.53
227,FSLR.OQ,2022-12-30T00:00:00Z,-13.1803164661769,15968454321.9,149.79
228,FSLR.OQ,2023-01-31T00:00:00Z,18.5659923894152,18933775094.3999,177.6
229,FSLR.OQ,2023-02-28T00:00:00Z,-5.69277947994495,18031862159.16,169.14
230,FSLR.OQ,2023-03-31T00:00:00Z,28.5916991820667,23234452072.5,217.5
231,FSLR.OQ,2023-04-28T00:00:00Z,-14.4102756429661,19504231558.92,182.58
232,FSLR.OQ,2023-05-31T00:00:00Z,11.1622302531232,21681338795.04,202.96
233,FSLR.OQ,2023-06-30T00:00:00Z,-6.08201581005563,20307418869.32,190.09
234,FSLR.OQ,2023-07-31T00:00:00Z,9.10621284689039,22156831115.6,207.4
235,FSLR.OQ,2023-08-31T00:00:00Z,-8.81388621005032,20203953233.28,189.12
236,FSLR.OQ,2023-09-29T00:00:00Z,-12.6351643595478,17262884956.46,161.59
237,FSLR.OQ,2023-10-31T00:00:00Z,-11.8447923775026,15219957999.4,142.45
238,FSLR.OQ,2023-11-30T00:00:00Z,15.7423708905544,16857879769.36,157.78
239,FSLR.OQ,2023-12-29T00:00:00Z,9.19001140728213,18407120843.36,172.28
240,FSLR.OQ,2024-01-31T00:00:00Z,-15.0801021570181,15631785592.5,146.3
241,FSLR.OQ,2024-02-29T00:00:00Z,3.07434695282749,16442981683.81,153.89
242,FSLR.OQ,2024-03-28T00:00:00Z,9.68873871040523,18068017100.8,168.8
243,FSLR.OQ,2024-04-30T00:00:00Z,4.44312796054109,18871402346.0,176.3
244,FSLR.OQ,2024-05-31T00:00:00Z,54.1463414612295,29089576299.2,271.76
245,FSLR.OQ,2024-06-28T00:00:00Z,-18.5418021531513,24133558553.2,225.46
246,FSLR.OQ,2024-07-31T00:00:00Z,-4.2003016056063,23121062738.87,215.99
247,FSLR.OQ,2024-08-30T00:00:00Z,5.26876244270573,24339256608.81,227.37
248,FSLR.OQ,2024-09-30T00:00:00Z,9.70664555570215,26704480670.0799,249.44
249,FSLR.OQ,2024-10-31T00:00:00Z,-22.0333547145606,20820587719.36,194.48
250,FSLR.OQ,2024-11-29T00:00:00Z,0.896202531645574,21333394255.64,199.27
